Year,Company ,Category,Market Cap(in B USD), Revenue , Gross Profit ,Net Income,Earning Per Share, EBITDA ,Share Holder Equity,Total Cash,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin2,Free Cash Flow per Share,Return on Tangible Equity2,Number of Employees,Inflation Rate(in US)2
2021,PYPL,FinTech, $221.57 ," $25,371.00 "," $11,921.00 "," $4,169.00 ", $3.52 ," $5,527.00 "," $21,727.00 ", $91.00 ,122.18%,0.3705,1.92%,5.50%,1.4%,16.43%,-0.4843,1.92%,30900,4.70%
2020,PYPL,FinTech, $274.41 ," $21,454.00 "," $10,001.00 "," $4,202.00 ", $3.54 ," $4,478.00 "," $20,063.00 "," $2,128.00 ",132.64%,0.4455,2.09%,5.97%,1.4%,19.59%,1.7623,2.09%,26500,1.23%
2019,PYPL,FinTech, $127.01 ," $17,772.00 "," $7,987.00 "," $2,459.00 ", $2.07 ," $3,631.00 "," $16,929.00 "," $2,516.00 ",143.00%,0.2933,1.45%,4.79%,1.1%,13.84%,-1.0251,1.45%,23200,1.81%
2018,PYPL,FinTech, $99.09 ," $15,451.00 "," $7,189.00 "," $2,057.00 ", $1.71 ," $2,970.00 "," $15,386.00 "," $5,061.00 ",127.25%,0.1299,1.34%,4.75%,1.3%,13.31%,2.347,1.34%,21800,2.44%
2017,PYPL,FinTech, $88.48 ," $13,094.00 "," $6,399.00 "," $1,795.00 ", $1.47 ," $2,932.00 "," $15,994.00 "," $2,130.00 ",142.79%,0.0625,1.12%,4.40%,1.1%,13.71%,-0.5169,1.12%,18700,2.13%
2016,PYPL,FinTech, $47.63 ," $10,842.00 "," $5,141.00 "," $1,401.00 ", $1.15 ," $2,310.00 "," $14,712.00 ", $(708.00),152.46%,0,0.95%,4.23%,1.0%,12.92%,0.5382,0.95%,18100,1.26%
2015,PYPL,FinTech, $44.23 ," $9,248.00 "," $4,719.00 "," $1,228.00 ", $1.00 ," $2,069.00 "," $13,759.00 ", $(764.00),151.63%,0,0.89%,4.25%,0.9%,13.28%,0.0935,0.89%,16800,0.12%
2014,PYPL,FinTech,," $8,025.00 "," $4,218.00 ", $419.00 , $0.34 ," $1,784.00 "," $8,248.00 ", $623.00 ,132.24%,0.1325,0.51%,1.91%,0.5%,5.22%,0.103,0.51%,15800,1.62%
2022,AIG,Bank,46.99," $56,437.00 "," $20,762.00 "," $10,247.00 ", $13.01 ," $20,640.00 "," $42,235.00 ", $(95.00),100.00%,0.6435,2.70%,2.14%,1.6%,18.16%,-1.9207,2.70%,26200,8.00%
2021,AIG,Bank,47.21," $52,057.00 "," $15,322.00 "," $9,359.00 ", $10.82 ," $15,382.00 "," $68,912.00 ", $(736.00),100.00%,0.4377,1.45%,1.66%,1.0%,17.98%,6.0658,1.45%,36600,4.70%
2020,AIG,Bank,32.62," $43,736.00 "," $6,912.00 "," $(5,973.00)", $(6.88)," $6,821.00 "," $67,199.00 ", $(106.00),100.00%,0.5586,-0.87%,-0.99%,-0.6%,-13.66%,3.2256,-0.87%,45000,1.23%
2019,AIG,Bank,44.65," $49,746.00 "," $11,975.00 "," $3,326.00 ", $3.74 ," $11,817.00 "," $67,427.00 ", $(24.00),100.00%,0.5243,0.62%,0.78%,0.4%,6.69%,-1.5986,0.62%,46000,1.81%
2018,AIG,Bank,34.86," $47,389.00 "," $6,921.00 ", $(6.00), $(0.01)," $6,897.00 "," $57,309.00 ", $632.00 ,100.00%,0.6027,0.02%,0.02%,0.0%,-0.01%,7.9685,0.02%,49600,2.44%
2017,AIG,Bank,53.56," $49,520.00 "," $6,849.00 "," $(6,084.00)", $(6.54)," $6,435.00 "," $65,708.00 ", $526.00 ,100.00%,0.4815,-0.92%,-1.22%,-0.6%,-12.29%,-11.611,-0.92%,49800,2.13%
2016,AIG,Bank,67.08," $52,367.00 "," $5,236.00 ", $(849.00), $(0.78)," $4,805.00 "," $76,858.00 ", $(79.00),100.00%,0.4022,-0.03%,-0.05%,0.0%,-1.62%,1.0537,-0.03%,56400,1.26%
2015,AIG,Bank,76.66," $58,327.00 "," $10,565.00 "," $2,196.00 ", $1.65 ," $9,958.00 "," $90,210.00 ", $(90.00),100.00%,0.3242,0.25%,0.45%,0.2%,3.77%,-1.303,0.25%,66400,0.12%
2014,AIG,Bank,78.41," $64,406.00 "," $19,219.00 "," $7,529.00 ", $5.20 ," $16,752.00 "," $107,272.00 ", $(497.00),100.00%,0.291,0.71%,1.47%,0.5%,11.69%,-0.5007,0.71%,65000,1.62%
2013,AIG,Bank,75.16," $68,874.00 "," $21,915.00 "," $9,085.00 ", $6.13 ," $16,922.00 "," $101,081.00 "," $1,206.00 ",100.00%,0.4125,0.89%,1.66%,0.6%,13.19%,1.7809,0.89%,64000,1.46%
2012,AIG,Bank,52.11," $71,214.00 "," $21,825.00 "," $3,438.00 ", $2.04 ," $19,327.00 "," $98,669.00 ", $(276.00),100.00%,0.4915,0.37%,0.67%,0.3%,4.83%,2.2237,0.37%,63000,2.07%
2011,AIG,Bank,44.06," $65,105.00 "," $18,692.00 "," $19,810.00 ", $11.01 ," $15,225.00 "," $102,393.00 ", $(559.00),100.00%,0.7349,1.84%,3.41%,1.1%,30.43%,-121.5022,1.84%,57000,3.16%
2010,AIG,Bank,7.79," $72,829.00 "," $16,787.00 "," $2,046.00 ", $14.98 ," $21,166.00 "," $113,239.00 "," $(2,576.00)",100.00%,0.7548,3.21%,1.94%,0.7%,2.81%,-15.8715,3.21%,63000,1.64%
2009,AIG,Bank,4.04," $75,447.00 "," $18,614.00 "," $(12,244.00)", $(90.48)," $27,765.00 "," $98,076.00 "," $(4,635.00)",100.00%,1.1552,-4.53%,-1.51%,-0.6%,-16.23%,137.3287,-4.53%,96000,-0.36%
2022,PCG,Manufacturing,41.28," $21,680.00 "," $16,824.00 "," $1,800.00 ", $0.84 ," $5,693.00 "," $23,075.00 ", $640.00 ,81.17%,2.2563,0.79%,1.53%,0.3%,8.30%,-0.016,0.79%,26010,8.00%
2021,PCG,Manufacturing,32.2," $20,642.00 "," $16,261.00 ", $(102.00), $(0.05)," $5,286.00 "," $21,223.00 ", $(320.00),63.56%,2.1152,-0.04%,-0.09%,0.0%,-0.49%,18.6025,-0.04%,26000,4.70%
2020,PCG,Manufacturing,24.1," $18,469.00 "," $14,571.00 "," $(1,318.00)", $(1.05)," $5,223.00 "," $21,253.00 ", $(950.00),70.70%,1.9227,-0.61%,-1.33%,-0.2%,-7.14%,-18.5013,-0.61%,24000,1.23%
2019,PCG,Manufacturing,24.73," $17,129.00 "," $13,300.00 "," $(7,656.00)", $(14.50)," $(6,860.00)"," $5,388.00 ", $(98.00),133.21%,0,-14.18%,-8.97%,-14.2%,-44.70%,0.5729,-14.18%,23000,1.81%
2018,PCG,Manufacturing,5.75," $16,759.00 "," $12,260.00 "," $(6,851.00)", $(13.25)," $(6,664.00)"," $12,903.00 "," $1,219.00 ",22.05%,1.7046,-5.30%,-8.88%,-5.3%,-40.88%,-4.0631,-5.30%,24000,2.44%
2017,PCG,Manufacturing,12.32," $17,135.00 "," $12,080.00 "," $1,646.00 ", $3.21 ," $5,759.00 "," $19,472.00 ", $272.00 ,88.10%,0.9824,0.85%,2.44%,0.4%,9.61%,3.2498,0.85%,23000,2.13%
2016,PCG,Manufacturing,23.06," $17,666.00 "," $12,286.00 "," $1,393.00 ", $2.78 ," $4,835.00 "," $18,192.00 ", $(173.00),81.49%,1.0134,0.77%,2.05%,0.4%,7.89%,0.2656,0.77%,24000,1.26%
2015,PCG,Manufacturing,30.73," $16,833.00 "," $11,071.00 ", $874.00 , $1.79 ," $4,120.00 "," $16,828.00 ", $(28.00),91.36%,1.0164,0.53%,1.40%,0.3%,5.19%,-0.4285,0.53%,23000,0.12%
2014,PCG,Manufacturing,26.09," $17,090.00 "," $10,521.00 "," $1,436.00 ", $3.06 ," $4,883.00 "," $16,000.00 ", $(145.00),107.92%,0.9802,0.91%,2.41%,0.5%,8.40%,1.5681,0.91%,22581,1.62%
2013,PCG,Manufacturing,25.29," $15,598.00 "," $9,614.00 ", $814.00 , $1.83 ," $3,839.00 "," $14,594.00 ", $(105.00),79.77%,1.0127,0.57%,1.49%,0.3%,5.22%,-4.6071,0.57%,21166,1.46%
2012,PCG,Manufacturing,18.1," $15,040.00 "," $10,017.00 ", $816.00 , $1.92 ," $3,965.00 "," $13,326.00 ", $(112.00),81.86%,1.0062,0.62%,1.58%,0.3%,5.43%,1.3509,0.62%,20593,2.07%
2011,PCG,Manufacturing,17.14," $14,956.00 "," $9,623.00 ", $844.00 , $2.10 ," $4,157.00 "," $12,353.00 ", $222.00 ,83.62%,1.1241,0.69%,1.72%,0.4%,5.64%,0.7766,0.69%,19274,3.16%
